time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50
0.000E+00,2.500E-01,1.750E+00,1.750E+00,1.750E+00,1.750E+00,1.750E+00,1.750E+00,2.500E-01,1.750E+00,2.500E-01,1.750E+00,1.750E+00,1.750E+00,2.500E-01,1.750E+00,2.500E-01,1.750E+00,1.750E+00,1.750E+00,1.750E+00,2.500E-01,1.750E+00,2.500E-01,1.750E+00,1.750E+00,1.750E+00,1.750E+00,2.500E-01,2.500E-01,1.750E+00,1.750E+00,1.750E+00,1.750E+00,1.750E+00,1.750E+00,1.750E+00,2.500E-01,1.750E+00,1.750E+00,1.750E+00,2.500E-01,2.500E-01,2.500E-01,1.750E+00,2.500E-01,2.500E-01,2.500E-01,1.750E+00,2.500E-01,2.500E-01
2.50000E-02,2.57889E-01,1.69914E+00,1.72277E+00,1.70840E+00,1.73017E+00,1.70549E+00,1.76653E+00,2.53642E-01,1.70264E+00,2.58804E-01,1.69143E+00,1.71001E+00,1.69987E+00,2.64637E-01,1.71475E+00,2.54113E-01,1.69476E+00,1.72671E+00,1.73915E+00,1.69748E+00,2.49694E-01,1.68699E+00,2.51039E-01,1.71949E+00,1.72952E+00,1.68470E+00,1.70239E+00,2.49554E-01,2.53642E-01,1.74579E+00,1.73746E+00,1.69076E+00,1.66007E+00,1.70877E+00,1.70525E+00,1.72811E+00,2.46957E-01,1.74252E+00,1.72328E+00,1.75120E+00,2.55125E-01,2.54176E-01,2.51467E-01,1.74894E+00,2.57974E-01,2.52335E-01,2.46380E-01,1.73322E+00,2.50010E-01,2.62074E-01
5.00000E-02,2.55193E-01,1.64481E+00,1.64078E+00,1.66522E+00,1.73324E+00,1.67433E+00,1.69379E+00,2.52508E-01,1.70343E+00,2.59814E-01,1.72400E+00,1.69450E+00,1.67163E+00,2.81095E-01,1.66308E+00,2.65450E-01,1.66769E+00,1.75399E+00,1.67690E+00,1.62154E+00,2.50844E-01,1.70722E+00,2.45798E-01,1.68072E+00,1.73897E+00,1.61382E+00,1.63030E+00,2.51963E-01,2.62456E-01,1.73308E+00,1.73615E+00,1.66857E+00,1.58467E+00,1.67569E+00,1.67896E+00,1.74025E+00,2.51692E-01,1.75920E+00,1.69820E+00,1.72387E+00,2.63300E-01,2.65281E-01,2.48749E-01,1.70520E+00,2.70398E-01,2.63179E-01,2.40255E-01,1.74208E+00,2.58229E-01,2.76028E-01
7.50000E-02,2.63747E-01,1.61949E+00,1.55401E+00,1.63888E+00,1.71800E+00,1.64855E+00,1.73927E+00,2.55733E-01,1.72950E+00,2.65944E-01,1.70159E+00,1.66194E+00,1.59326E+00,2.95384E-01,1.61093E+00,2.71533E-01,1.69461E+00,1.75274E+00,1.61338E+00,1.52946E+00,2.42314E-01,1.69034E+00,2.41522E-01,1.69247E+00,1.69248E+00,1.56734E+00,1.60073E+00,2.58834E-01,2.71015E-01,1.72396E+00,1.66408E+00,1.65540E+00,1.53434E+00,1.62822E+00,1.66117E+00,1.72239E+00,2.52912E-01,1.71171E+00,1.65911E+00,1.76545E+00,2.74290E-01,2.70492E-01,2.53192E-01,1.75055E+00,2.74877E-01,2.75027E-01,2.42771E-01,1.72916E+00,2.67525E-01,2.85174E-01
1.00000E-01,2.74894E-01,1.60128E+00,1.51414E+00,1.58280E+00,1.67549E+00,1.67116E+00,1.67565E+00,2.55698E-01,1.71216E+00,2.75974E-01,1.73022E+00,1.61567E+00,1.55863E+00,2.99177E-01,1.54436E+00,2.72490E-01,1.66519E+00,1.78076E+00,1.60280E+00,1.49264E+00,2.41547E-01,1.67046E+00,2.41187E-01,1.63618E+00,1.66724E+00,1.51359E+00,1.58746E+00,2.65869E-01,2.75083E-01,1.69671E+00,1.64404E+00,1.58446E+00,1.46562E+00,1.55664E+00,1.66538E+00,1.67996E+00,2.55232E-01,1.70357E+00,1.60880E+00,1.76734E+00,2.76259E-01,2.68438E-01,2.55995E-01,1.71466E+00,2.81114E-01,2.83074E-01,2.42075E-01,1.69268E+00,2.79487E-01,3.03592E-01
1.25000E-01,2.79570E-01,1.61215E+00,1.43381E+00,1.57003E+00,1.64684E+00,1.62375E+00,1.64252E+00,2.52870E-01,1.68350E+00,2.79781E-01,1.72719E+00,1.53984E+00,1.53782E+00,3.05191E-01,1.54305E+00,2.72609E-01,1.65558E+00,1.81210E+00,1.63017E+00,1.42268E+00,2.48522E-01,1.62944E+00,2.47654E-01,1.58717E+00,1.61443E+00,1.46043E+00,1.59806E+00,2.62444E-01,2.84826E-01,1.63992E+00,1.60692E+00,1.53895E+00,1.38204E+00,1.52602E+00,1.67678E+00,1.62786E+00,2.57789E-01,1.68005E+00,1.59549E+00,1.74783E+00,2.84619E-01,2.72106E-01,2.54868E-01,1.69000E+00,2.90157E-01,2.88862E-01,2.47856E-01,1.56956E+00,2.93909E-01,3.14146E-01
1.50000E-01,2.78156E-01,1.66648E+00,1.39698E+00,1.51571E+00,1.65241E+00,1.58311E+00,1.59319E+00,2.59842E-01,1.67894E+00,2.88977E-01,1.71193E+00,1.49524E+00,1.51001E+00,3.10069E-01,1.49918E+00,2.75792E-01,1.63580E+00,1.81980E+00,1.56527E+00,1.33361E+00,2.50854E-01,1.60711E+00,2.51495E-01,1.59779E+00,1.61890E+00,1.42333E+00,1.63914E+00,2.62998E-01,2.89782E-01,1.65890E+00,1.52759E+00,1.49373E+00,1.30037E+00,1.50072E+00,1.65173E+00,1.65634E+00,2.65793E-01,1.64436E+00,1.58743E+00,1.70697E+00,2.92608E-01,2.68084E-01,2.54572E-01,1.67672E+00,3.04632E-01,2.91819E-01,2.53757E-01,1.52854E+00,3.04154E-01,3.21266E-01
1.75000E-01,2.83143E-01,1.68575E+00,1.32969E+00,1.44659E+00,1.59986E+00,1.54508E+00,1.63259E+00,2.66935E-01,1.66836E+00,2.97657E-01,1.67811E+00,1.44405E+00,1.46121E+00,3.24124E-01,1.47055E+00,2.88100E-01,1.64084E+00,1.81708E+00,1.52423E+00,1.32146E+00,2.63460E-01,1.63856E+00,2.49957E-01,1.55823E+00,1.57609E+00,1.39628E+00,1.61131E+00,2.62817E-01,2.99610E-01,1.64558E+00,1.55485E+00,1.45534E+00,1.25459E+00,1.44368E+00,1.61830E+00,1.67003E+00,2.70923E-01,1.58206E+00,1.54917E+00,1.66799E+00,3.01328E-01,2.71119E-01,2.51805E-01,1.66733E+00,3.18361E-01,2.98834E-01,2.65584E-01,1.54744E+00,3.11273E-01,3.25044E-01
2.00000E-01,2.89516E-01,1.68318E+00,1.29821E+00,1.42528E+00,1.61782E+00,1.52454E+00,1.64009E+00,2.63470E-01,1.60891E+00,3.06604E-01,1.66180E+00,1.44994E+00,1.48586E+00,3.42170E-01,1.44049E+00,2.96671E-01,1.64305E+00,1.81583E+00,1.49189E+00,1.30814E+00,2.61199E-01,1.67403E+00,2.47895E-01,1.51606E+00,1.53566E+00,1.36878E+00,1.59759E+00,2.68688E-01,3.09442E-01,1.64064E+00,1.56633E+00,1.45060E+00,1.25693E+00,1.43380E+00,1.60676E+00,1.64528E+00,2.77178E-01,1.53727E+00,1.52132E+00,1.68040E+00,3.07244E-01,2.71544E-01,2.55909E-01,1.70006E+00,3.23845E-01,2.95977E-01,2.63966E-01,1.46934E+00,3.24062E-01,3.30450E-01
2.25000E-01,2.90598E-01,1.66856E+00,1.24258E+00,1.38676E+00,1.61093E+00,1.49611E+00,1.60288E+00,2.59764E-01,1.60865E+00,3.12816E-01,1.64908E+00,1.50122E+00,1.55803E+00,3.53156E-01,1.42285E+00,3.05165E-01,1.65005E+00,1.82311E+00,1.48155E+00,1.25259E+00,2.60351E-01,1.68091E+00,2.44131E-01,1.50785E+00,1.52757E+00,1.36129E+00,1.55439E+00,2.70171E-01,3.11913E-01,1.59562E+00,1.51474E+00,1.39097E+00,1.21926E+00,1.40725E+00,1.67695E+00,1.60554E+00,2.81722E-01,1.53737E+00,1.46950E+00,1.69067E+00,3.16973E-01,2.80915E-01,2.55143E-01,1.69700E+00,3.32010E-01,2.88306E-01,2.68422E-01,1.41198E+00,3.31970E-01,3.42808E-01
