time,species_1,species_2,species_3,species_4,species_5
0.000E+00,2.500E-04,3.112E-02,5.534E-01,1.406E+00,2.500E+01
5.00000E-05,2.46136E-04,3.08848E-02,5.48724E-01,1.42022E+00,2.53290E+01
1.00000E-04,2.44859E-04,3.07088E-02,5.55376E-01,1.43086E+00,2.52762E+01
1.50000E-04,2.45704E-04,3.07222E-02,5.53400E-01,1.42648E+00,2.52626E+01
2.00000E-04,2.45503E-04,3.07205E-02,5.50910E-01,1.42650E+00,2.53157E+01
2.50000E-04,2.50431E-04,3.07074E-02,5.45705E-01,1.41094E+00,2.50843E+01
3.00000E-04,2.50971E-04,3.08803E-02,5.42707E-01,1.40730E+00,2.51718E+01
3.50000E-04,2.50943E-04,3.11094E-02,5.40592E-01,1.40911E+00,2.53598E+01
4.00000E-04,2.52239E-04,3.09603E-02,5.35487E-01,1.39591E+00,2.52630E+01
4.50000E-04,2.55813E-04,3.11658E-02,5.39364E-01,1.41553E+00,2.52757E+01
5.00000E-04,2.55936E-04,3.06129E-02,5.49186E-01,1.41192E+00,2.53932E+01
5.50000E-04,2.56538E-04,3.08309E-02,5.49124E-01,1.39972E+00,2.54115E+01
6.00000E-04,2.57305E-04,3.09509E-02,5.43812E-01,1.40622E+00,2.53577E+01
6.50000E-04,2.56539E-04,3.13763E-02,5.51119E-01,1.42106E+00,2.55711E+01
7.00000E-04,2.54707E-04,3.12622E-02,5.44601E-01,1.42681E+00,2.56389E+01
7.50000E-04,2.52931E-04,3.13641E-02,5.37242E-01,1.43409E+00,2.58911E+01
8.00000E-04,2.53104E-04,3.16950E-02,5.43769E-01,1.43469E+00,2.55786E+01
8.50000E-04,2.52675E-04,3.14330E-02,5.46528E-01,1.42670E+00,2.56306E+01
9.00000E-04,2.52046E-04,3.19272E-02,5.38554E-01,1.42508E+00,2.56714E+01
9.50000E-04,2.53695E-04,3.18842E-02,5.35441E-01,1.41654E+00,2.53334E+01
1.00000E-03,2.53495E-04,3.15381E-02,5.39074E-01,1.42979E+00,2.57604E+01
1.05000E-03,2.54011E-04,3.11060E-02,5.42809E-01,1.42516E+00,2.60229E+01
1.10000E-03,2.54946E-04,3.14665E-02,5.45409E-01,1.42269E+00,2.60685E+01
1.15000E-03,2.54585E-04,3.11467E-02,5.48595E-01,1.41701E+00,2.61481E+01
1.20000E-03,2.54032E-04,3.11196E-02,5.47941E-01,1.43901E+00,2.64260E+01
1.25000E-03,2.55934E-04,3.15023E-02,5.50036E-01,1.42639E+00,2.64225E+01
1.30000E-03,2.55823E-04,3.18908E-02,5.53761E-01,1.41930E+00,2.64465E+01
