time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,1.009E-03,1.260E-03,1.112E-03,1.188E-03,1.368E-03,1.745E-03,1.453E-03,1.663E-03,1.735E-03,1.878E-03,2.450E-03,2.733E-03,2.623E-03,2.700E-03,2.872E-03,3.414E-03,4.069E-03,3.584E-03,4.563E-03,4.026E-03,4.058E-03,4.704E-03,5.628E-03,5.803E-03,6.593E-03,5.848E-03,6.901E-03,6.808E-03,8.972E-03,1.043E-02,1.048E-02,1.047E-02,1.004E-02,1.182E-02,1.334E-02,1.285E-02,1.342E-02,1.823E-02,1.867E-02,1.808E-02,2.133E-02,2.260E-02,2.657E-02,2.878E-02,3.188E-02,2.588E-02,3.617E-02,4.207E-02,4.620E-02,4.370E-02,4.519E-02,5.904E-02,5.083E-02,5.273E-02,6.720E-02,6.704E-02,6.366E-02,7.147E-02,8.260E-02,9.815E-02,9.949E-02,1.308E-01,1.203E-01,1.225E-01,1.387E-01,1.458E-01,1.461E-01,1.646E-01,1.681E-01,2.302E-01,2.524E-01,1.906E-01,2.641E-01,2.487E-01,2.808E-01,3.627E-01,3.876E-01,3.800E-01,4.258E-01,5.358E-01,5.160E-01,5.943E-01,6.097E-01,6.026E-01,7.474E-01,6.697E-01,8.176E-01,9.147E-01,8.017E-01,8.543E-01,1.041E+00,1.176E+00,1.353E+00,1.253E+00,1.355E+00,1.171E+00,1.577E+00,2.143E+00,2.025E+00,2.268E+00,2.438E+00,2.536E+00,2.784E+00,2.950E+00,2.953E+00,3.650E+00,3.981E+00,3.696E+00,3.922E+00,4.789E+00,4.428E+00,5.238E+00,5.531E+00,6.576E+00,6.549E+00,6.444E+00,8.287E+00,8.192E+00,1.030E+01,8.375E+00,1.004E+01,1.190E+01,1.292E+01,1.275E+01,1.444E+01,1.352E+01,1.692E+01,2.111E+01,2.006E+01,1.977E+01,2.532E+01,2.450E+01,2.744E+01,2.873E+01,2.888E+01,3.761E+01,3.411E+01,4.091E+01,3.861E+01,4.684E+01,5.062E+01,4.830E+01,6.518E+01,5.608E+01,6.405E+01,6.439E+01,8.096E+01,1.006E+02,8.881E+01,1.065E+02
5.00000E-02,1.07079E-03,1.28005E-03,1.10031E-03,1.15620E-03,1.36698E-03,1.76718E-03,1.50987E-03,1.71259E-03,1.76661E-03,1.93103E-03,2.37829E-03,2.80449E-03,2.82733E-03,2.67187E-03,2.86038E-03,3.39829E-03,4.04757E-03,3.63728E-03,4.42676E-03,3.98776E-03,4.02031E-03,4.69108E-03,5.47863E-03,5.80415E-03,6.34639E-03,5.73284E-03,6.90872E-03,6.67458E-03,8.88471E-03,9.80470E-03,1.08886E-02,1.06737E-02,1.01312E-02,1.19341E-02,1.31948E-02,1.27694E-02,1.36224E-02,1.89854E-02,1.85601E-02,1.88915E-02,2.11441E-02,2.27698E-02,2.64400E-02,2.94933E-02,3.23825E-02,2.51891E-02,3.58998E-02,4.23697E-02,4.59605E-02,4.33125E-02,4.62676E-02,5.77115E-02,5.12174E-02,5.33139E-02,6.63313E-02,6.83475E-02,6.39649E-02,7.33552E-02,8.44008E-02,9.35416E-02,1.01313E-01,1.29084E-01,1.19076E-01,1.16955E-01,1.40913E-01,1.44611E-01,1.52045E-01,1.59751E-01,1.68523E-01,2.27409E-01,2.72526E-01,1.89683E-01,2.62593E-01,2.41634E-01,2.86238E-01,3.65078E-01,4.02609E-01,3.92030E-01,4.27317E-01,5.55978E-01,5.11423E-01,5.98393E-01,6.04676E-01,5.88145E-01,7.71701E-01,6.78369E-01,8.35786E-01,9.30930E-01,7.89017E-01,8.56224E-01,1.02508E+00,1.20575E+00,1.43419E+00,1.28756E+00,1.36283E+00,1.16171E+00,1.61187E+00,2.06330E+00,1.96177E+00,2.18785E+00,2.43144E+00,2.49754E+00,2.75812E+00,3.00880E+00,2.90995E+00,3.50491E+00,3.92450E+00,3.76591E+00,4.10807E+00,4.79518E+00,4.49146E+00,5.25424E+00,5.68563E+00,6.33898E+00,6.53836E+00,6.62144E+00,8.00131E+00,8.18390E+00,9.55331E+00,8.63371E+00,1.03172E+01,1.16357E+01,1.26131E+01,1.29392E+01,1.48473E+01,1.45719E+01,1.69590E+01,1.94766E+01,1.95143E+01,2.11071E+01,2.35372E+01,2.46959E+01,2.65071E+01,2.79414E+01,3.20754E+01,3.48111E+01,3.66898E+01,3.96954E+01,4.23479E+01,4.51175E+01,4.90440E+01,5.29403E+01,5.76941E+01,6.21142E+01,6.75325E+01,7.32715E+01,8.01994E+01,8.51840E+01,9.32069E+01,9.97766E+01
1.00000E-01,1.07280E-03,1.30505E-03,1.10158E-03,1.14221E-03,1.35322E-03,1.75041E-03,1.52667E-03,1.69440E-03,1.75992E-03,1.89007E-03,2.38574E-03,2.79928E-03,2.82427E-03,2.68709E-03,2.83253E-03,3.38347E-03,4.16033E-03,3.70439E-03,4.47657E-03,4.08340E-03,4.08315E-03,4.65146E-03,5.55661E-03,5.65145E-03,6.24280E-03,5.84822E-03,6.92523E-03,6.66588E-03,8.96680E-03,9.97219E-03,1.09912E-02,1.08543E-02,1.02034E-02,1.21039E-02,1.31944E-02,1.26839E-02,1.34266E-02,1.86052E-02,1.82575E-02,1.94735E-02,2.05211E-02,2.18929E-02,2.58417E-02,2.84443E-02,3.27831E-02,2.58326E-02,3.68763E-02,4.20924E-02,4.67505E-02,4.32932E-02,4.55520E-02,5.58318E-02,5.14268E-02,5.57625E-02,6.86136E-02,6.68576E-02,6.37713E-02,7.07125E-02,8.62208E-02,9.21628E-02,1.01939E-01,1.21723E-01,1.19143E-01,1.16432E-01,1.39317E-01,1.44738E-01,1.52313E-01,1.65705E-01,1.67351E-01,2.23124E-01,2.77100E-01,1.85069E-01,2.55456E-01,2.48670E-01,2.87120E-01,3.65140E-01,3.94273E-01,3.97841E-01,4.32187E-01,5.44100E-01,5.04822E-01,5.91647E-01,6.13934E-01,5.87812E-01,7.69266E-01,7.05289E-01,8.31325E-01,9.52624E-01,7.61025E-01,8.64204E-01,1.06649E+00,1.21375E+00,1.40865E+00,1.23956E+00,1.35521E+00,1.15323E+00,1.63478E+00,1.96692E+00,1.92015E+00,2.15383E+00,2.41580E+00,2.48822E+00,2.78791E+00,3.06413E+00,2.89920E+00,3.55270E+00,3.84732E+00,3.77579E+00,4.10772E+00,4.66982E+00,4.69320E+00,5.21439E+00,5.75097E+00,6.37896E+00,6.59917E+00,6.90079E+00,8.31074E+00,8.23359E+00,9.38488E+00,8.88560E+00,1.03745E+01,1.17092E+01,1.25823E+01,1.30319E+01,1.43755E+01,1.51736E+01,1.65647E+01,1.80224E+01,1.96247E+01,2.16681E+01,2.31684E+01,2.51182E+01,2.68345E+01,2.89132E+01,3.17171E+01,3.39975E+01,3.69625E+01,3.88130E+01,4.24189E+01,4.65863E+01,5.02888E+01,5.32581E+01,5.89270E+01,6.15173E+01,6.74964E+01,7.47093E+01,8.08679E+01,8.75731E+01,9.21910E+01,9.95668E+01
1.50000E-01,1.13267E-03,1.28507E-03,1.09722E-03,1.12953E-03,1.35562E-03,1.73118E-03,1.55445E-03,1.62472E-03,1.78826E-03,1.91230E-03,2.40775E-03,2.83605E-03,2.86523E-03,2.71114E-03,2.88590E-03,3.43141E-03,4.08873E-03,3.66463E-03,4.59782E-03,3.94484E-03,4.02651E-03,4.61323E-03,5.75484E-03,5.59542E-03,5.96320E-03,5.84064E-03,6.66878E-03,6.32852E-03,8.85298E-03,9.88942E-03,1.08043E-02,1.10192E-02,1.01753E-02,1.17964E-02,1.32541E-02,1.24349E-02,1.31201E-02,1.83410E-02,1.86835E-02,1.95263E-02,2.09781E-02,2.18688E-02,2.53497E-02,2.82402E-02,3.26156E-02,2.49994E-02,3.77286E-02,4.13001E-02,4.61914E-02,4.36342E-02,4.39610E-02,5.56596E-02,4.88266E-02,5.73540E-02,6.76304E-02,6.59816E-02,6.26019E-02,6.97233E-02,8.58524E-02,9.31583E-02,1.05283E-01,1.20621E-01,1.18723E-01,1.18352E-01,1.38604E-01,1.36902E-01,1.51103E-01,1.68417E-01,1.65647E-01,2.18298E-01,2.82176E-01,1.84914E-01,2.53052E-01,2.50227E-01,2.96743E-01,3.62276E-01,4.02529E-01,3.98104E-01,4.30140E-01,5.53259E-01,5.14524E-01,5.91640E-01,6.04643E-01,5.99524E-01,7.63462E-01,6.69286E-01,8.22172E-01,9.53596E-01,7.70645E-01,8.65598E-01,1.07067E+00,1.21534E+00,1.39648E+00,1.23709E+00,1.38705E+00,1.18692E+00,1.62893E+00,1.92896E+00,1.92831E+00,2.08809E+00,2.34322E+00,2.59793E+00,2.77630E+00,3.06931E+00,2.94542E+00,3.60209E+00,3.85857E+00,3.85407E+00,4.11388E+00,4.57388E+00,4.72119E+00,5.15643E+00,5.67855E+00,6.26690E+00,6.35081E+00,7.11335E+00,8.16999E+00,8.19971E+00,8.94278E+00,9.22617E+00,1.01788E+01,1.17316E+01,1.28238E+01,1.31617E+01,1.41274E+01,1.53286E+01,1.66878E+01,1.83363E+01,1.92763E+01,2.04777E+01,2.23291E+01,2.48357E+01,2.69274E+01,2.95700E+01,3.20239E+01,3.49382E+01,3.67914E+01,3.94796E+01,4.32889E+01,4.58497E+01,5.01004E+01,5.43081E+01,5.85655E+01,6.29966E+01,6.81869E+01,7.52031E+01,7.86097E+01,8.64243E+01,9.16009E+01,1.00603E+02
2.00000E-01,1.12814E-03,1.25991E-03,1.07764E-03,1.15964E-03,1.35121E-03,1.67372E-03,1.54151E-03,1.62838E-03,1.80994E-03,1.90112E-03,2.35141E-03,2.81952E-03,2.95758E-03,2.60968E-03,2.96939E-03,3.35528E-03,4.05349E-03,3.79470E-03,4.47476E-03,3.85852E-03,3.99339E-03,4.47588E-03,5.77580E-03,5.72768E-03,5.80912E-03,5.76462E-03,6.56376E-03,6.38895E-03,8.68390E-03,9.76153E-03,1.05376E-02,1.04547E-02,1.06688E-02,1.18203E-02,1.27936E-02,1.23885E-02,1.35945E-02,1.91975E-02,1.87591E-02,1.91915E-02,2.07878E-02,2.16201E-02,2.59161E-02,2.74543E-02,3.32013E-02,2.57228E-02,3.69165E-02,4.03213E-02,4.51598E-02,4.42477E-02,4.38391E-02,5.72770E-02,4.90452E-02,5.84635E-02,6.87289E-02,6.37774E-02,6.34098E-02,6.71154E-02,8.91266E-02,9.51635E-02,1.04580E-01,1.22091E-01,1.23926E-01,1.17594E-01,1.40978E-01,1.34530E-01,1.48006E-01,1.58171E-01,1.63613E-01,2.15416E-01,2.93576E-01,1.81085E-01,2.49197E-01,2.52341E-01,2.95243E-01,3.47253E-01,4.15700E-01,3.93428E-01,4.32298E-01,5.54495E-01,4.96770E-01,6.07760E-01,5.74425E-01,5.81028E-01,7.88534E-01,6.76523E-01,8.49427E-01,9.91579E-01,7.75325E-01,8.88270E-01,1.10162E+00,1.20598E+00,1.39526E+00,1.23069E+00,1.39629E+00,1.20145E+00,1.59559E+00,1.91241E+00,1.92087E+00,2.10946E+00,2.31786E+00,2.54973E+00,2.81097E+00,3.08326E+00,3.00047E+00,3.57406E+00,3.86193E+00,3.85032E+00,4.07897E+00,4.69806E+00,4.62129E+00,5.03973E+00,5.59277E+00,6.23490E+00,6.72503E+00,7.23871E+00,7.89154E+00,8.29150E+00,8.81618E+00,9.45601E+00,1.03826E+01,1.14721E+01,1.25881E+01,1.30430E+01,1.41076E+01,1.57599E+01,1.66327E+01,1.83824E+01,1.94990E+01,2.10462E+01,2.23634E+01,2.55199E+01,2.66321E+01,2.98702E+01,3.17596E+01,3.29382E+01,3.61503E+01,3.91307E+01,4.27337E+01,4.64929E+01,5.01144E+01,5.37000E+01,5.79971E+01,6.31379E+01,6.86153E+01,7.26337E+01,7.83610E+01,8.55159E+01,9.22158E+01,9.83814E+01
2.50000E-01,1.12354E-03,1.29108E-03,1.03177E-03,1.17701E-03,1.41118E-03,1.64689E-03,1.54652E-03,1.60921E-03,1.86056E-03,1.93561E-03,2.38123E-03,2.86429E-03,2.97329E-03,2.67458E-03,2.96009E-03,3.46537E-03,4.02618E-03,3.97535E-03,4.62783E-03,4.07096E-03,4.00058E-03,4.49995E-03,5.75700E-03,5.77724E-03,6.06893E-03,5.76786E-03,6.62717E-03,6.47257E-03,8.51803E-03,9.63221E-03,1.05155E-02,1.04927E-02,1.05342E-02,1.14966E-02,1.28650E-02,1.26477E-02,1.36979E-02,1.92086E-02,1.89333E-02,1.97967E-02,2.11498E-02,2.15746E-02,2.58038E-02,2.69982E-02,3.33776E-02,2.69949E-02,3.70066E-02,4.03234E-02,4.64553E-02,4.21126E-02,4.40115E-02,5.64286E-02,4.86794E-02,5.93730E-02,6.87165E-02,6.48812E-02,6.28590E-02,6.71531E-02,8.80361E-02,9.62950E-02,1.10882E-01,1.21888E-01,1.19956E-01,1.17301E-01,1.40083E-01,1.31694E-01,1.42852E-01,1.53739E-01,1.66875E-01,2.15765E-01,2.90189E-01,1.88272E-01,2.58876E-01,2.54694E-01,2.89487E-01,3.50442E-01,4.17561E-01,3.89094E-01,4.13962E-01,5.57031E-01,4.90257E-01,6.03828E-01,5.73676E-01,5.72435E-01,7.63553E-01,6.78031E-01,8.29101E-01,9.59066E-01,7.80807E-01,9.07240E-01,1.11663E+00,1.18456E+00,1.38876E+00,1.21691E+00,1.37990E+00,1.21511E+00,1.59142E+00,1.92271E+00,1.96380E+00,2.16074E+00,2.26468E+00,2.52575E+00,2.86648E+00,3.03765E+00,3.09545E+00,3.56389E+00,3.79120E+00,3.92299E+00,4.02296E+00,4.52647E+00,4.68366E+00,5.35026E+00,5.74693E+00,6.07362E+00,6.60439E+00,7.16142E+00,7.80185E+00,8.27261E+00,8.89490E+00,9.76525E+00,1.03104E+01,1.17757E+01,1.23600E+01,1.31836E+01,1.40017E+01,1.59226E+01,1.65700E+01,1.84098E+01,1.98372E+01,2.15737E+01,2.29014E+01,2.48185E+01,2.73503E+01,2.92742E+01,3.09813E+01,3.39819E+01,3.74963E+01,3.86632E+01,4.22997E+01,4.55356E+01,4.96535E+01,5.32568E+01,5.86887E+01,6.36137E+01,6.81690E+01,7.27774E+01,7.95174E+01,8.54827E+01,9.26790E+01,9.98603E+01
3.00000E-01,1.13956E-03,1.32156E-03,1.03952E-03,1.22144E-03,1.39527E-03,1.65716E-03,1.51973E-03,1.65495E-03,1.88314E-03,1.90401E-03,2.36757E-03,2.86982E-03,2.84965E-03,2.84687E-03,2.88467E-03,3.60186E-03,4.08889E-03,4.05237E-03,4.61693E-03,4.08420E-03,3.79535E-03,4.50607E-03,5.67282E-03,5.79058E-03,6.11352E-03,5.81481E-03,6.55893E-03,6.29470E-03,8.43149E-03,9.58137E-03,1.03863E-02,1.01573E-02,1.06497E-02,1.16084E-02,1.29120E-02,1.31411E-02,1.38577E-02,1.90602E-02,1.91894E-02,2.05297E-02,2.12033E-02,2.17931E-02,2.71721E-02,2.68953E-02,3.31724E-02,2.69139E-02,3.70969E-02,3.99126E-02,4.84517E-02,4.17002E-02,4.54383E-02,5.55032E-02,4.89859E-02,5.94030E-02,6.74344E-02,6.44574E-02,6.44693E-02,6.59557E-02,8.61854E-02,9.92297E-02,1.11912E-01,1.21107E-01,1.22740E-01,1.13481E-01,1.40350E-01,1.35095E-01,1.47675E-01,1.55656E-01,1.67230E-01,2.07088E-01,2.82276E-01,1.85579E-01,2.58036E-01,2.49537E-01,2.89433E-01,3.56858E-01,3.98176E-01,3.94655E-01,4.23609E-01,5.37036E-01,4.70519E-01,6.02681E-01,5.53656E-01,5.73568E-01,7.81824E-01,6.97127E-01,7.93947E-01,9.71667E-01,7.69831E-01,9.09616E-01,1.11210E+00,1.25839E+00,1.37222E+00,1.21217E+00,1.33852E+00,1.25116E+00,1.59891E+00,1.92424E+00,1.91946E+00,2.17862E+00,2.26722E+00,2.46141E+00,2.79986E+00,3.08409E+00,3.08836E+00,3.43159E+00,3.86530E+00,3.92098E+00,3.97764E+00,4.53328E+00,4.80643E+00,5.28096E+00,5.92374E+00,5.99203E+00,6.57250E+00,7.20124E+00,7.89109E+00,8.01644E+00,8.78162E+00,9.48545E+00,1.02152E+01,1.14010E+01,1.23755E+01,1.32575E+01,1.43446E+01,1.55553E+01,1.66386E+01,1.81875E+01,1.92495E+01,2.19522E+01,2.22606E+01,2.48432E+01,2.66139E+01,2.92864E+01,3.14535E+01,3.40397E+01,3.67432E+01,3.97851E+01,4.34694E+01,4.74679E+01,4.97317E+01,5.32749E+01,5.91384E+01,6.30753E+01,6.82422E+01,7.42892E+01,7.76730E+01,8.48861E+01,9.21997E+01,9.99891E+01
3.50000E-01,1.15654E-03,1.36236E-03,1.07639E-03,1.20607E-03,1.34891E-03,1.66531E-03,1.53606E-03,1.65054E-03,1.90962E-03,1.95968E-03,2.36960E-03,3.01277E-03,2.88464E-03,2.71521E-03,2.87392E-03,3.63744E-03,4.01453E-03,4.00383E-03,4.70686E-03,4.15682E-03,3.66080E-03,4.63784E-03,5.63817E-03,5.92615E-03,6.07269E-03,5.76861E-03,6.49858E-03,6.27846E-03,8.32204E-03,9.32973E-03,1.02355E-02,9.64806E-03,1.08504E-02,1.13135E-02,1.36617E-02,1.31334E-02,1.36325E-02,2.00881E-02,1.89498E-02,2.00271E-02,2.11639E-02,2.26675E-02,2.64771E-02,2.82838E-02,3.33243E-02,2.73822E-02,3.81083E-02,4.01163E-02,4.67316E-02,4.12657E-02,4.45225E-02,5.34773E-02,4.89693E-02,5.97965E-02,6.75607E-02,6.48621E-02,6.40840E-02,6.57265E-02,8.98781E-02,9.90787E-02,1.08960E-01,1.22871E-01,1.18979E-01,1.14505E-01,1.39809E-01,1.34045E-01,1.48034E-01,1.53317E-01,1.69432E-01,2.12429E-01,2.82137E-01,1.95968E-01,2.53295E-01,2.46802E-01,2.76521E-01,3.51770E-01,3.98285E-01,4.06819E-01,4.38665E-01,5.56518E-01,4.66980E-01,5.82371E-01,5.64909E-01,5.71407E-01,7.68801E-01,6.99822E-01,7.72890E-01,9.53953E-01,7.81841E-01,9.07033E-01,1.10007E+00,1.26896E+00,1.35729E+00,1.25347E+00,1.34770E+00,1.28836E+00,1.60576E+00,1.91975E+00,1.93188E+00,2.13087E+00,2.31423E+00,2.41453E+00,2.82064E+00,3.08115E+00,2.99946E+00,3.30364E+00,3.86533E+00,3.93771E+00,4.16344E+00,4.42930E+00,4.84241E+00,5.39437E+00,6.13846E+00,5.90136E+00,6.61885E+00,7.23986E+00,7.86122E+00,7.87679E+00,8.87811E+00,9.53264E+00,1.03091E+01,1.15179E+01,1.25491E+01,1.34659E+01,1.42998E+01,1.60929E+01,1.70197E+01,1.81269E+01,1.97750E+01,2.12509E+01,2.30366E+01,2.52813E+01,2.69495E+01,2.90833E+01,3.19951E+01,3.37800E+01,3.62685E+01,3.93072E+01,4.25162E+01,4.63716E+01,4.92094E+01,5.32977E+01,5.78943E+01,6.32055E+01,6.74550E+01,7.31093E+01,7.86394E+01,8.64060E+01,9.16377E+01,1.00926E+02
4.00000E-01,1.16339E-03,1.41310E-03,1.05157E-03,1.21711E-03,1.33768E-03,1.74535E-03,1.47609E-03,1.56545E-03,1.84117E-03,1.99207E-03,2.27889E-03,3.00617E-03,2.91473E-03,2.69434E-03,2.70073E-03,3.63440E-03,3.90000E-03,3.94160E-03,4.52520E-03,4.17520E-03,3.66827E-03,4.44077E-03,5.60239E-03,6.01218E-03,5.95457E-03,5.89857E-03,6.64858E-03,6.15073E-03,8.29142E-03,9.01673E-03,1.07045E-02,9.43880E-03,1.06620E-02,1.15838E-02,1.35671E-02,1.28449E-02,1.32968E-02,1.97267E-02,1.92395E-02,2.08737E-02,2.11577E-02,2.22601E-02,2.60328E-02,2.78753E-02,3.26817E-02,2.76633E-02,3.73845E-02,3.99619E-02,4.50921E-02,4.24180E-02,4.44777E-02,5.32460E-02,4.92598E-02,5.88301E-02,6.70813E-02,6.60510E-02,6.31887E-02,6.59095E-02,9.33156E-02,9.89763E-02,1.05544E-01,1.26488E-01,1.21380E-01,1.18478E-01,1.39456E-01,1.31197E-01,1.46422E-01,1.53915E-01,1.71610E-01,2.14267E-01,2.81315E-01,1.95951E-01,2.53346E-01,2.46424E-01,2.76335E-01,3.44125E-01,3.98545E-01,3.95552E-01,4.27321E-01,5.51387E-01,4.79127E-01,5.97367E-01,5.56083E-01,5.77955E-01,7.46954E-01,7.17521E-01,8.07385E-01,9.62298E-01,7.84506E-01,9.27105E-01,1.13018E+00,1.27345E+00,1.30810E+00,1.26797E+00,1.36004E+00,1.31905E+00,1.61421E+00,1.91656E+00,1.87652E+00,2.15312E+00,2.33220E+00,2.48917E+00,2.78209E+00,3.10361E+00,2.97651E+00,3.29289E+00,3.71693E+00,4.04072E+00,4.15624E+00,4.50978E+00,4.92160E+00,5.36764E+00,5.81687E+00,5.95505E+00,6.71105E+00,7.19111E+00,8.00214E+00,8.21780E+00,9.00712E+00,9.78037E+00,1.05533E+01,1.15438E+01,1.26690E+01,1.33435E+01,1.47170E+01,1.59330E+01,1.68939E+01,1.76709E+01,1.92886E+01,2.15345E+01,2.28130E+01,2.48631E+01,2.69072E+01,2.91301E+01,3.17361E+01,3.42854E+01,3.67500E+01,4.05035E+01,4.28346E+01,4.48901E+01,4.94695E+01,5.48493E+01,5.67141E+01,6.41019E+01,6.91125E+01,7.43072E+01,7.83070E+01,8.60145E+01,9.32447E+01,9.96242E+01
4.50000E-01,1.15542E-03,1.43772E-03,1.00563E-03,1.25984E-03,1.34871E-03,1.73460E-03,1.48027E-03,1.45695E-03,1.79503E-03,1.97542E-03,2.23274E-03,2.92565E-03,2.90073E-03,2.61336E-03,2.66335E-03,3.60651E-03,3.91266E-03,4.05259E-03,4.56320E-03,4.14466E-03,3.66138E-03,4.48434E-03,5.72723E-03,6.00169E-03,5.87353E-03,5.65630E-03,6.68694E-03,6.30416E-03,8.49198E-03,8.68735E-03,1.04071E-02,9.69338E-03,1.06913E-02,1.18490E-02,1.38257E-02,1.27343E-02,1.34818E-02,1.99111E-02,1.92867E-02,2.08786E-02,2.18332E-02,2.20827E-02,2.61631E-02,2.76728E-02,3.29916E-02,2.68431E-02,3.79985E-02,4.09133E-02,4.52222E-02,4.19342E-02,4.47957E-02,5.31836E-02,4.94780E-02,6.23432E-02,6.75096E-02,6.70615E-02,6.20687E-02,6.44912E-02,9.31830E-02,9.47524E-02,1.02564E-01,1.26898E-01,1.24616E-01,1.14100E-01,1.40728E-01,1.34382E-01,1.49094E-01,1.48673E-01,1.76518E-01,2.07603E-01,2.85944E-01,1.88460E-01,2.50342E-01,2.42947E-01,2.75714E-01,3.53943E-01,4.12978E-01,4.01979E-01,4.15591E-01,5.64088E-01,4.65150E-01,6.07883E-01,5.49302E-01,5.87522E-01,7.54597E-01,7.14823E-01,7.82106E-01,9.51010E-01,7.78178E-01,9.50558E-01,1.11009E+00,1.29558E+00,1.23972E+00,1.25157E+00,1.35498E+00,1.35483E+00,1.57437E+00,1.86648E+00,1.90579E+00,2.09769E+00,2.36872E+00,2.50117E+00,2.75544E+00,3.02369E+00,2.98809E+00,3.31970E+00,3.75648E+00,3.93295E+00,4.12431E+00,4.46885E+00,4.80819E+00,5.36455E+00,5.70700E+00,5.97920E+00,6.53216E+00,7.10412E+00,8.02186E+00,8.31162E+00,9.02489E+00,9.55297E+00,1.10620E+01,1.14259E+01,1.27712E+01,1.32798E+01,1.45954E+01,1.60452E+01,1.69633E+01,1.76719E+01,1.95790E+01,2.12136E+01,2.32176E+01,2.54903E+01,2.67414E+01,2.97304E+01,3.07135E+01,3.47634E+01,3.62716E+01,3.98032E+01,4.32023E+01,4.57056E+01,4.89319E+01,5.38268E+01,5.86833E+01,6.24824E+01,6.95214E+01,7.22627E+01,7.80569E+01,8.58324E+01,9.26753E+01,9.96878E+01
