time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50
0.0,0.00079,0.001037,0.001396,0.002317,0.002712,0.003208,0.004075,0.005107,0.005978,0.008651,0.01047,0.01253,0.01729,0.02079,0.02719,0.03134,0.044289999999999996,0.06147999999999999,0.06455,0.08052000000000001,0.1114,0.1115,0.1915,0.2342,0.2559,0.3694,0.5147,0.5276,0.7609,0.9984,1.131,1.554,1.61,2.01,2.9960000000000004,3.464,4.342,7.0,7.582000000000001,9.634,12.96,14.8,16.35,23.66,25.99,36.27,45.75,68.1,84.28,104.8
0.05,0.000804649,0.00107713,0.00135638,0.00235353,0.00272856,0.00332586,0.00410122,0.0050289,0.00592148,0.00893593,0.0103551,0.0125416,0.017187,0.0213845,0.027424900000000002,0.0315652,0.0429262,0.0617545,0.0646036,0.0783924,0.115522,0.11273,0.195384,0.23918699999999998,0.262113,0.379285,0.515466,0.524516,0.755065,0.9842110000000001,1.13944,1.5405799999999998,1.63099,2.06028,3.02681,3.5013699999999996,4.45708,6.755489999999999,7.685789999999999,9.69692,12.0796,15.1301,17.8907,24.4388,29.7039,38.3933,49.1274,62.7729,79.1639,100.96600000000001
0.1,0.000802573,0.00109432,0.00130301,0.00238827,0.0027083,0.00342031,0.00410046,0.00494689,0.0058888,0.00874754,0.010428299999999998,0.012599700000000002,0.0167167,0.021273300000000002,0.0271988,0.0312177,0.0411248,0.0639353,0.0647085,0.07686989999999999,0.113062,0.10813699999999998,0.19958900000000002,0.24013400000000001,0.256121,0.387533,0.492353,0.5284260000000001,0.7856350000000001,0.956247,1.1084100000000001,1.5275,1.63408,2.04534,3.02894,3.51365,4.45541,6.612889999999999,7.7049,9.71033,12.5187,15.152,18.5835,24.6177,31.0201,39.6962,48.8715,61.6493,79.3716,100.06700000000001
0.15,0.0008271410000000001,0.00109719,0.00133073,0.00241159,0.00275275,0.00347533,0.00419132,0.00492077,0.00581538,0.0088213,0.0103846,0.0125492,0.0168517,0.021196400000000004,0.026944599999999996,0.0310834,0.040998900000000005,0.06242280000000001,0.0622847,0.0788216,0.110544,0.11163,0.193787,0.23985900000000002,0.25500100000000003,0.400565,0.469192,0.516412,0.819601,0.9891340000000001,1.15228,1.50219,1.70238,2.1196099999999998,3.0556799999999997,3.483,4.56524,6.37901,7.75507,9.95159,12.134,14.7034,19.3219,24.3006,30.6173,40.2761,49.5826,62.9617,80.065,99.5959
0.2,0.000806042,0.00112226,0.0013634,0.00240873,0.0027764,0.00343464,0.00447122,0.00494407,0.0057275,0.00859138,0.0104228,0.0124279,0.017238800000000002,0.0213101,0.026832299999999996,0.030708,0.040686,0.0620264,0.0593749,0.07910199999999999,0.10965499999999999,0.11271700000000001,0.183028,0.24608400000000002,0.253712,0.387679,0.458344,0.524511,0.812222,0.986359,1.16127,1.48711,1.69907,2.14246,2.9323599999999996,3.39771,4.527909999999999,6.36278,7.682519999999999,10.0143,12.1496,15.2514,19.0379,24.5888,30.8648,39.2772,49.7992,62.9387,78.5587,101.536
0.25,0.00078888,0.00112568,0.00134519,0.00240154,0.00280565,0.0033807,0.00452011,0.00483019,0.00566775,0.00877848,0.0104075,0.012256200000000002,0.017388900000000002,0.0212262,0.0265818,0.0313462,0.0418592,0.0607149,0.058250199999999995,0.0776525,0.111068,0.1146,0.186825,0.240294,0.259085,0.398748,0.455496,0.526648,0.8210729999999999,1.00815,1.17293,1.52381,1.7406099999999998,2.18008,3.02367,3.3951599999999997,4.51103,6.22701,7.7384699999999995,9.53288,12.0967,15.3675,18.845,23.853,31.4086,39.9977,49.1577,61.967,79.7775,99.0747
0.3,0.000798388,0.00110558,0.00134269,0.00239211,0.00281343,0.00348802,0.00456542,0.00472415,0.00569407,0.00890763,0.0106499,0.011960799999999999,0.0172834,0.0220229,0.027049599999999997,0.0310408,0.0417279,0.06089,0.0599111,0.07837430000000001,0.11382,0.11203699999999998,0.18673800000000002,0.244191,0.26055100000000003,0.39055100000000004,0.452879,0.532542,0.865079,1.0025600000000001,1.1661299999999999,1.53362,1.75095,2.12826,2.989,3.53,4.5378,6.162059999999999,7.53153,9.64407,11.8606,15.1779,18.9508,24.4903,31.3567,38.6583,50.0091,61.8427,80.3919,99.5008
0.35,0.00082507,0.00108563,0.00134868,0.00237996,0.00286525,0.00354589,0.00457627,0.00461778,0.0056127,0.00899062,0.0107861,0.0124021,0.0173027,0.0218672,0.0269547,0.0311598,0.0420885,0.0604548,0.0602337,0.0786857,0.110037,0.105879,0.189227,0.24389299999999997,0.26805500000000004,0.38481,0.466235,0.530928,0.853877,0.9929469999999999,1.1613200000000001,1.47643,1.72616,2.1088,2.95256,3.62744,4.5183,6.09574,7.57159,9.56072,12.0087,15.2284,19.0078,24.7463,32.4151,39.2376,49.3072,63.5133,79.0222,99.0191
0.4,0.00082203,0.00110733,0.00136952,0.0023025,0.00288285,0.0034734,0.00462848,0.00481927,0.00552956,0.00889578,0.010112799999999998,0.012777,0.017637299999999998,0.0223554,0.0262583,0.031054400000000003,0.040722,0.060206600000000006,0.0575232,0.0816706,0.10948,0.112724,0.187048,0.245923,0.256801,0.398206,0.472916,0.53974,0.84696,1.01255,1.1114700000000002,1.53406,1.71993,2.06965,2.91043,3.63309,4.53872,6.108219999999999,7.44804,9.85304,12.2301,15.1409,18.7855,24.183,31.1332,38.5669,49.6405,61.8583,79.1726,100.685
0.45,0.000800299,0.00110925,0.00136059,0.00222831,0.00283541,0.0034753,0.00465157,0.00479057,0.00562777,0.00871891,0.0102807,0.013199299999999999,0.0171742,0.0220573,0.025922399999999998,0.029687,0.0398219,0.0596865,0.0598192,0.08105169999999999,0.11377000000000001,0.112621,0.178681,0.241119,0.257019,0.396011,0.481796,0.531155,0.864397,1.01567,1.1408200000000002,1.53617,1.6946400000000001,2.07213,2.92084,3.56095,4.5549,6.1819,7.195819999999999,9.84293,12.1426,15.27,18.7338,24.6847,31.2312,39.397,48.3729,62.2743,78.5278,98.6831
