time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,1.009E-03,1.260E-03,1.112E-03,1.188E-03,1.368E-03,1.745E-03,1.453E-03,1.663E-03,1.735E-03,1.878E-03,2.450E-03,2.733E-03,2.623E-03,2.700E-03,2.872E-03,3.414E-03,4.069E-03,3.584E-03,4.563E-03,4.026E-03,4.058E-03,4.704E-03,5.628E-03,5.803E-03,6.593E-03,5.848E-03,6.901E-03,6.808E-03,8.972E-03,1.043E-02,1.048E-02,1.047E-02,1.004E-02,1.182E-02,1.334E-02,1.285E-02,1.342E-02,1.823E-02,1.867E-02,1.808E-02,2.133E-02,2.260E-02,2.657E-02,2.878E-02,3.188E-02,2.588E-02,3.617E-02,4.207E-02,4.620E-02,4.370E-02,4.519E-02,5.904E-02,5.083E-02,5.273E-02,6.720E-02,6.704E-02,6.366E-02,7.147E-02,8.260E-02,9.815E-02,9.949E-02,1.308E-01,1.203E-01,1.225E-01,1.387E-01,1.458E-01,1.461E-01,1.646E-01,1.681E-01,2.302E-01,2.524E-01,1.906E-01,2.641E-01,2.487E-01,2.808E-01,3.627E-01,3.876E-01,3.800E-01,4.258E-01,5.358E-01,5.160E-01,5.943E-01,6.097E-01,6.026E-01,7.474E-01,6.697E-01,8.176E-01,9.147E-01,8.017E-01,8.543E-01,1.041E+00,1.176E+00,1.353E+00,1.253E+00,1.355E+00,1.171E+00,1.577E+00,2.143E+00,2.025E+00,2.268E+00,2.438E+00,2.536E+00,2.784E+00,2.950E+00,2.953E+00,3.650E+00,3.981E+00,3.696E+00,3.922E+00,4.789E+00,4.428E+00,5.238E+00,5.531E+00,6.576E+00,6.549E+00,6.444E+00,8.287E+00,8.192E+00,1.030E+01,8.375E+00,1.004E+01,1.190E+01,1.292E+01,1.275E+01,1.444E+01,1.352E+01,1.692E+01,2.111E+01,2.006E+01,1.977E+01,2.532E+01,2.450E+01,2.744E+01,2.873E+01,2.888E+01,3.761E+01,3.411E+01,4.091E+01,3.861E+01,4.684E+01,5.062E+01,4.830E+01,6.518E+01,5.608E+01,6.405E+01,6.439E+01,8.096E+01,1.006E+02,8.881E+01,1.065E+02
5.00000E-02,1.03753E-03,1.25725E-03,1.10210E-03,1.18734E-03,1.41697E-03,1.76113E-03,1.45874E-03,1.64341E-03,1.74311E-03,1.83778E-03,2.37862E-03,2.73827E-03,2.67586E-03,2.73219E-03,2.87391E-03,3.28107E-03,4.07914E-03,3.46914E-03,4.62483E-03,4.11244E-03,3.93241E-03,4.85516E-03,5.51176E-03,5.82357E-03,6.67198E-03,5.85570E-03,6.94302E-03,6.89166E-03,9.05896E-03,1.05235E-02,1.08251E-02,1.04871E-02,9.93044E-03,1.20247E-02,1.35399E-02,1.23335E-02,1.35771E-02,1.88154E-02,1.84987E-02,1.77592E-02,2.10758E-02,2.27920E-02,2.68596E-02,2.87145E-02,3.16664E-02,2.50088E-02,3.76900E-02,4.24132E-02,4.64568E-02,4.28077E-02,4.54502E-02,5.90513E-02,5.03797E-02,5.16568E-02,6.68965E-02,6.65621E-02,6.62512E-02,7.21131E-02,8.28297E-02,1.02865E-01,9.70153E-02,1.31985E-01,1.18716E-01,1.23342E-01,1.35442E-01,1.43902E-01,1.43545E-01,1.64909E-01,1.64715E-01,2.16420E-01,2.58089E-01,1.93065E-01,2.60576E-01,2.51246E-01,2.79832E-01,3.53684E-01,3.80449E-01,3.70713E-01,4.38166E-01,5.40187E-01,5.17606E-01,5.93201E-01,6.13746E-01,6.13482E-01,7.18894E-01,6.80119E-01,8.50995E-01,9.31637E-01,8.33387E-01,8.68580E-01,1.09024E+00,1.16418E+00,1.32851E+00,1.26035E+00,1.36793E+00,1.24855E+00,1.53385E+00,2.04557E+00,2.02001E+00,2.26022E+00,2.51993E+00,2.52218E+00,2.73162E+00,3.00559E+00,2.87892E+00,3.52937E+00,3.83214E+00,3.74638E+00,3.97086E+00,4.87287E+00,4.54478E+00,5.38157E+00,5.65573E+00,6.63226E+00,6.55802E+00,6.88599E+00,8.40740E+00,8.08070E+00,9.79462E+00,8.95511E+00,1.06809E+01,1.15853E+01,1.29371E+01,1.29851E+01,1.47337E+01,1.42956E+01,1.67930E+01,1.92153E+01,1.95887E+01,2.10782E+01,2.40389E+01,2.44566E+01,2.74882E+01,2.90507E+01,3.06007E+01,3.41144E+01,3.61065E+01,3.88116E+01,4.13971E+01,4.69968E+01,4.86508E+01,5.34277E+01,5.79108E+01,6.28125E+01,6.82163E+01,7.19442E+01,7.76820E+01,8.39875E+01,9.45786E+01,9.98816E+01
1.00000E-01,1.03193E-03,1.22239E-03,1.08449E-03,1.24321E-03,1.41265E-03,1.76056E-03,1.41428E-03,1.57697E-03,1.63032E-03,1.87682E-03,2.49292E-03,2.79958E-03,2.70063E-03,2.77657E-03,2.88319E-03,3.35413E-03,4.10025E-03,3.54914E-03,4.65498E-03,4.10928E-03,4.08796E-03,4.79453E-03,5.47926E-03,5.89735E-03,6.44994E-03,5.90038E-03,7.27331E-03,6.95164E-03,8.99674E-03,1.01445E-02,1.06989E-02,1.05798E-02,1.02092E-02,1.17310E-02,1.34864E-02,1.22002E-02,1.34994E-02,1.88070E-02,1.86087E-02,1.75596E-02,2.14192E-02,2.28191E-02,2.70151E-02,2.78165E-02,3.16431E-02,2.46415E-02,3.91362E-02,4.21712E-02,4.60812E-02,4.09067E-02,4.49077E-02,5.75342E-02,5.23684E-02,5.25689E-02,6.75559E-02,6.58268E-02,6.50547E-02,7.10792E-02,8.45528E-02,1.01323E-01,9.43585E-02,1.29510E-01,1.16731E-01,1.26207E-01,1.36358E-01,1.42069E-01,1.53228E-01,1.63839E-01,1.61914E-01,2.15025E-01,2.55485E-01,1.92125E-01,2.64096E-01,2.53649E-01,2.76190E-01,3.46470E-01,3.92511E-01,3.72995E-01,4.34106E-01,5.47894E-01,4.97932E-01,5.93020E-01,6.18010E-01,6.04801E-01,7.23357E-01,6.61269E-01,8.58339E-01,9.21407E-01,8.10361E-01,8.53535E-01,1.09071E+00,1.19171E+00,1.36243E+00,1.29024E+00,1.36319E+00,1.21658E+00,1.61241E+00,1.93819E+00,2.01028E+00,2.19795E+00,2.44442E+00,2.48913E+00,2.76448E+00,2.99162E+00,2.93427E+00,3.54661E+00,3.78995E+00,3.77268E+00,4.03903E+00,4.65696E+00,4.74385E+00,5.37279E+00,5.86769E+00,6.23563E+00,6.71794E+00,7.01694E+00,8.16568E+00,8.37779E+00,9.55861E+00,9.07683E+00,1.07190E+01,1.16128E+01,1.23557E+01,1.32439E+01,1.46966E+01,1.49248E+01,1.64753E+01,1.87638E+01,1.94699E+01,2.12091E+01,2.36005E+01,2.48143E+01,2.67521E+01,2.81157E+01,3.07625E+01,3.36318E+01,3.61109E+01,3.92158E+01,4.32563E+01,4.67085E+01,4.98392E+01,5.31103E+01,5.90021E+01,6.21602E+01,6.64172E+01,7.37010E+01,7.89313E+01,8.70010E+01,9.50973E+01,9.98273E+01
1.50000E-01,1.00863E-03,1.20566E-03,1.07474E-03,1.18611E-03,1.36609E-03,1.73676E-03,1.38851E-03,1.51252E-03,1.59676E-03,1.93898E-03,2.46824E-03,2.68672E-03,2.79095E-03,2.86556E-03,2.85104E-03,3.46008E-03,4.01258E-03,3.51393E-03,4.63245E-03,4.05188E-03,4.11572E-03,4.76050E-03,5.53222E-03,5.75995E-03,6.54773E-03,5.95379E-03,7.31463E-03,6.97534E-03,9.26280E-03,1.04530E-02,1.06397E-02,1.09379E-02,9.96445E-03,1.19393E-02,1.37787E-02,1.20616E-02,1.33281E-02,1.90146E-02,1.93592E-02,1.78200E-02,2.13222E-02,2.27229E-02,2.79313E-02,2.74692E-02,3.21553E-02,2.34951E-02,4.06284E-02,4.08308E-02,4.64258E-02,4.05733E-02,4.39015E-02,5.66753E-02,5.25932E-02,5.41252E-02,6.48363E-02,6.35884E-02,6.54234E-02,7.02126E-02,8.56661E-02,1.02498E-01,9.60162E-02,1.27533E-01,1.13648E-01,1.29966E-01,1.37300E-01,1.41409E-01,1.54122E-01,1.67344E-01,1.62529E-01,2.10138E-01,2.56238E-01,1.95074E-01,2.67906E-01,2.57348E-01,2.65824E-01,3.54443E-01,3.82001E-01,3.74361E-01,4.34425E-01,5.54752E-01,4.92817E-01,5.97792E-01,5.98257E-01,6.03975E-01,7.36911E-01,6.92956E-01,8.39196E-01,8.98922E-01,8.23009E-01,8.40085E-01,1.09551E+00,1.20240E+00,1.37952E+00,1.32203E+00,1.36158E+00,1.24348E+00,1.55127E+00,1.91315E+00,2.06007E+00,2.27241E+00,2.50299E+00,2.50439E+00,2.72343E+00,3.07850E+00,2.99024E+00,3.44291E+00,3.76112E+00,3.81392E+00,4.02132E+00,4.63972E+00,4.62748E+00,5.47574E+00,5.87069E+00,5.89578E+00,6.47282E+00,7.36328E+00,8.10413E+00,8.45886E+00,9.24091E+00,9.04612E+00,1.09432E+01,1.12951E+01,1.24884E+01,1.38786E+01,1.47907E+01,1.52673E+01,1.65367E+01,1.81344E+01,1.97145E+01,2.11316E+01,2.30631E+01,2.53160E+01,2.67431E+01,2.93174E+01,3.08967E+01,3.35527E+01,3.61902E+01,3.95635E+01,4.28351E+01,4.57711E+01,4.88744E+01,5.39106E+01,5.75526E+01,6.31998E+01,6.81940E+01,7.27711E+01,7.98952E+01,8.58128E+01,9.17602E+01,1.01681E+02
2.00000E-01,1.01996E-03,1.20872E-03,1.06080E-03,1.21132E-03,1.37675E-03,1.71703E-03,1.38546E-03,1.53017E-03,1.59944E-03,1.96461E-03,2.42382E-03,2.69261E-03,2.87804E-03,2.87755E-03,2.97171E-03,3.58957E-03,3.95627E-03,3.56685E-03,4.49265E-03,4.09374E-03,4.05662E-03,4.81409E-03,5.38629E-03,5.71287E-03,6.42267E-03,5.97860E-03,7.63683E-03,6.85523E-03,9.56169E-03,1.05343E-02,1.10113E-02,1.07470E-02,1.00501E-02,1.23099E-02,1.39723E-02,1.21925E-02,1.33548E-02,1.92403E-02,1.93977E-02,1.82934E-02,2.12900E-02,2.27641E-02,2.79157E-02,2.76988E-02,3.12264E-02,2.27928E-02,4.03503E-02,4.18819E-02,4.78417E-02,4.10227E-02,4.42007E-02,5.69456E-02,5.25650E-02,5.42901E-02,6.71969E-02,6.21424E-02,6.48466E-02,7.06867E-02,8.70403E-02,9.74428E-02,9.64582E-02,1.30913E-01,1.15664E-01,1.31056E-01,1.36256E-01,1.38550E-01,1.52689E-01,1.67508E-01,1.63974E-01,2.05878E-01,2.54139E-01,1.82654E-01,2.68049E-01,2.60522E-01,2.63192E-01,3.61790E-01,3.70823E-01,3.76899E-01,4.33117E-01,5.50228E-01,4.98886E-01,6.09170E-01,5.98386E-01,6.16099E-01,7.13687E-01,6.97364E-01,8.51704E-01,8.96541E-01,8.33508E-01,8.62788E-01,1.10753E+00,1.21263E+00,1.41773E+00,1.30863E+00,1.38430E+00,1.23698E+00,1.53491E+00,1.92015E+00,2.01135E+00,2.23680E+00,2.45772E+00,2.49488E+00,2.61406E+00,3.00665E+00,2.95141E+00,3.37436E+00,3.75112E+00,3.80183E+00,3.94083E+00,4.67772E+00,4.57977E+00,5.63394E+00,5.81511E+00,6.17994E+00,6.45850E+00,7.14616E+00,7.99350E+00,8.26426E+00,9.31221E+00,9.48428E+00,1.10276E+01,1.13203E+01,1.24348E+01,1.35479E+01,1.45541E+01,1.56780E+01,1.72022E+01,1.80495E+01,2.01117E+01,2.12691E+01,2.35957E+01,2.47755E+01,2.69410E+01,2.87653E+01,3.10535E+01,3.37329E+01,3.71176E+01,3.95811E+01,4.30736E+01,4.65665E+01,5.04887E+01,5.30360E+01,5.76989E+01,6.19348E+01,6.83517E+01,7.20908E+01,7.84001E+01,8.63795E+01,9.27574E+01,9.98899E+01
2.50000E-01,1.00043E-03,1.21355E-03,1.08570E-03,1.25370E-03,1.37240E-03,1.66533E-03,1.40450E-03,1.57615E-03,1.61332E-03,1.96225E-03,2.43880E-03,2.70514E-03,2.92930E-03,2.85330E-03,2.95772E-03,3.66441E-03,4.02156E-03,3.78009E-03,4.50203E-03,4.00898E-03,3.94580E-03,4.87445E-03,5.23458E-03,5.72768E-03,6.52596E-03,5.97385E-03,7.42931E-03,6.90589E-03,9.52456E-03,1.06836E-02,1.10923E-02,1.09548E-02,9.88799E-03,1.25082E-02,1.37533E-02,1.23092E-02,1.37333E-02,1.92879E-02,1.87583E-02,1.85012E-02,2.16251E-02,2.37071E-02,2.81522E-02,2.86299E-02,3.14079E-02,2.18236E-02,4.07571E-02,4.22691E-02,4.81047E-02,4.20805E-02,4.33839E-02,5.56615E-02,5.12701E-02,5.45509E-02,6.86450E-02,6.57540E-02,6.66022E-02,6.93523E-02,8.79670E-02,9.59554E-02,9.86772E-02,1.34610E-01,1.17137E-01,1.25784E-01,1.38867E-01,1.38521E-01,1.49188E-01,1.61134E-01,1.62571E-01,2.09426E-01,2.53862E-01,1.86136E-01,2.79343E-01,2.58709E-01,2.66267E-01,3.68177E-01,3.73239E-01,3.74963E-01,4.33670E-01,5.58163E-01,5.03134E-01,6.34725E-01,5.87242E-01,6.31523E-01,7.07629E-01,6.84162E-01,8.64450E-01,8.84808E-01,8.62291E-01,8.60661E-01,1.12669E+00,1.18968E+00,1.42651E+00,1.34535E+00,1.38251E+00,1.28868E+00,1.50690E+00,2.00182E+00,2.00626E+00,2.22191E+00,2.41924E+00,2.42760E+00,2.62169E+00,2.81503E+00,2.89670E+00,3.35581E+00,3.73776E+00,3.90304E+00,3.98898E+00,4.69993E+00,4.57656E+00,5.50506E+00,5.89935E+00,5.94119E+00,6.51836E+00,7.13756E+00,7.97988E+00,8.56822E+00,9.31109E+00,9.72811E+00,1.06003E+01,1.11813E+01,1.26481E+01,1.34723E+01,1.48314E+01,1.59394E+01,1.71883E+01,1.84568E+01,1.94662E+01,2.14100E+01,2.25877E+01,2.51042E+01,2.74216E+01,2.95234E+01,3.20362E+01,3.36251E+01,3.55137E+01,4.00903E+01,4.28439E+01,4.69567E+01,4.96010E+01,5.39573E+01,5.90638E+01,6.21382E+01,6.77237E+01,7.30730E+01,7.95525E+01,8.59263E+01,9.09085E+01,1.00002E+02
3.00000E-01,9.70684E-04,1.13767E-03,1.06290E-03,1.24037E-03,1.37499E-03,1.66976E-03,1.44702E-03,1.62304E-03,1.67465E-03,1.95036E-03,2.39703E-03,2.67071E-03,2.97223E-03,2.89102E-03,2.91589E-03,3.67764E-03,3.99692E-03,3.78418E-03,4.50692E-03,3.90906E-03,3.81056E-03,4.89174E-03,5.25639E-03,5.55821E-03,6.48278E-03,5.88334E-03,7.48104E-03,6.89393E-03,9.24944E-03,1.04254E-02,1.11442E-02,1.07376E-02,9.92537E-03,1.26157E-02,1.36620E-02,1.24566E-02,1.34335E-02,1.92031E-02,1.80805E-02,1.86323E-02,2.12994E-02,2.33160E-02,2.69510E-02,2.89634E-02,3.22167E-02,2.20956E-02,4.25736E-02,4.41754E-02,4.83208E-02,4.23175E-02,4.33739E-02,5.35524E-02,5.05382E-02,5.38528E-02,7.11626E-02,6.48837E-02,6.57157E-02,6.76623E-02,8.88246E-02,9.46879E-02,9.96074E-02,1.35231E-01,1.24112E-01,1.25896E-01,1.35781E-01,1.34106E-01,1.49506E-01,1.58541E-01,1.58555E-01,2.09375E-01,2.54940E-01,1.88558E-01,2.73487E-01,2.62304E-01,2.72354E-01,3.61842E-01,3.71039E-01,3.62875E-01,4.38479E-01,5.56671E-01,5.08621E-01,6.29834E-01,6.06739E-01,6.13840E-01,7.02171E-01,6.70556E-01,8.48161E-01,8.68020E-01,8.62121E-01,8.68624E-01,1.07548E+00,1.20115E+00,1.41170E+00,1.42237E+00,1.40034E+00,1.31383E+00,1.50648E+00,2.04471E+00,1.96573E+00,2.22064E+00,2.42267E+00,2.47898E+00,2.57478E+00,2.83666E+00,2.97506E+00,3.32957E+00,3.71225E+00,3.93217E+00,4.05888E+00,4.69512E+00,4.63468E+00,5.55897E+00,5.90392E+00,6.08314E+00,6.73934E+00,7.18590E+00,8.07470E+00,8.48678E+00,9.14158E+00,9.89507E+00,1.08012E+01,1.12891E+01,1.24815E+01,1.34809E+01,1.45019E+01,1.57985E+01,1.67405E+01,1.82269E+01,1.92965E+01,2.10333E+01,2.25200E+01,2.43215E+01,2.66111E+01,2.89832E+01,3.09390E+01,3.40645E+01,3.67428E+01,3.95206E+01,4.25545E+01,4.66553E+01,4.89330E+01,5.38810E+01,5.81899E+01,6.28902E+01,6.79356E+01,7.27949E+01,7.86564E+01,8.61883E+01,9.24766E+01,9.90941E+01
3.50000E-01,9.96207E-04,1.17012E-03,1.07189E-03,1.23137E-03,1.30612E-03,1.70526E-03,1.44497E-03,1.55620E-03,1.65347E-03,1.98735E-03,2.39234E-03,2.67325E-03,3.00528E-03,2.87207E-03,2.94839E-03,3.70283E-03,4.17072E-03,3.69459E-03,4.61348E-03,3.99970E-03,3.83735E-03,4.83998E-03,5.16886E-03,5.63423E-03,6.24267E-03,5.88793E-03,7.57913E-03,6.86739E-03,9.56005E-03,1.05549E-02,1.18856E-02,1.08130E-02,9.81768E-03,1.25166E-02,1.40084E-02,1.22711E-02,1.34402E-02,1.90954E-02,1.83386E-02,1.87996E-02,2.15013E-02,2.25483E-02,2.87536E-02,2.83622E-02,3.19163E-02,2.24026E-02,4.29901E-02,4.33510E-02,4.86711E-02,4.18399E-02,4.31636E-02,5.36309E-02,4.98343E-02,5.30681E-02,6.90656E-02,6.70329E-02,6.68716E-02,6.89035E-02,9.04792E-02,9.54387E-02,9.78922E-02,1.35137E-01,1.22110E-01,1.25903E-01,1.35118E-01,1.33259E-01,1.48346E-01,1.58197E-01,1.66986E-01,2.13410E-01,2.59519E-01,1.96735E-01,2.67579E-01,2.65140E-01,2.71636E-01,3.53986E-01,3.58293E-01,3.55642E-01,4.30416E-01,5.70319E-01,5.03148E-01,6.05319E-01,5.91646E-01,6.00578E-01,7.35016E-01,6.77282E-01,8.20262E-01,8.50599E-01,8.67200E-01,8.54743E-01,1.09070E+00,1.20595E+00,1.40725E+00,1.42330E+00,1.40921E+00,1.29116E+00,1.51791E+00,1.98191E+00,1.93006E+00,2.15927E+00,2.40527E+00,2.46402E+00,2.58859E+00,2.96798E+00,3.17663E+00,3.20667E+00,3.62961E+00,3.84346E+00,4.00341E+00,4.72392E+00,4.71923E+00,5.55803E+00,5.68893E+00,6.24075E+00,6.94650E+00,7.10749E+00,8.01068E+00,8.37255E+00,9.43014E+00,9.75419E+00,1.05027E+01,1.14042E+01,1.21866E+01,1.33145E+01,1.42340E+01,1.56675E+01,1.65198E+01,1.79359E+01,1.96246E+01,2.08902E+01,2.21753E+01,2.54048E+01,2.71890E+01,2.93043E+01,3.16356E+01,3.41075E+01,3.67240E+01,4.00301E+01,4.19291E+01,4.55303E+01,5.03131E+01,5.51383E+01,5.84369E+01,6.37632E+01,6.64628E+01,7.36507E+01,7.94381E+01,8.74374E+01,9.36591E+01,1.00538E+02
4.00000E-01,1.00168E-03,1.14485E-03,1.07843E-03,1.19073E-03,1.29311E-03,1.67680E-03,1.42036E-03,1.51218E-03,1.71717E-03,1.97600E-03,2.35081E-03,2.70338E-03,2.93593E-03,2.93862E-03,2.99728E-03,3.75829E-03,3.94704E-03,3.63095E-03,4.63358E-03,3.86413E-03,3.93397E-03,4.97682E-03,5.06316E-03,5.47339E-03,6.32836E-03,5.78770E-03,7.45240E-03,6.96238E-03,8.98910E-03,1.07524E-02,1.21910E-02,1.04727E-02,1.01897E-02,1.26800E-02,1.41215E-02,1.25965E-02,1.38488E-02,1.88592E-02,1.81719E-02,1.85779E-02,2.05250E-02,2.20402E-02,2.91808E-02,2.73172E-02,3.14878E-02,2.27931E-02,4.44237E-02,4.20166E-02,4.87963E-02,4.38531E-02,4.39285E-02,5.28130E-02,5.12274E-02,5.35600E-02,6.85767E-02,6.75268E-02,6.48132E-02,6.97792E-02,9.19334E-02,9.39141E-02,9.84317E-02,1.35667E-01,1.14701E-01,1.25025E-01,1.32473E-01,1.30513E-01,1.48132E-01,1.52758E-01,1.60552E-01,2.12662E-01,2.51472E-01,2.00236E-01,2.61521E-01,2.68987E-01,2.63616E-01,3.48918E-01,3.56997E-01,3.50273E-01,4.19681E-01,5.53961E-01,5.07172E-01,6.23730E-01,5.69960E-01,6.05568E-01,7.42104E-01,6.92794E-01,8.15322E-01,8.57317E-01,8.87415E-01,8.55036E-01,1.10978E+00,1.22185E+00,1.41432E+00,1.44757E+00,1.40255E+00,1.31903E+00,1.51873E+00,2.02904E+00,1.85661E+00,2.18025E+00,2.44560E+00,2.56499E+00,2.54706E+00,3.04533E+00,3.19102E+00,3.20963E+00,3.58874E+00,3.74622E+00,4.00510E+00,4.79462E+00,4.78210E+00,5.61150E+00,5.52771E+00,6.15220E+00,7.01662E+00,7.23685E+00,7.85531E+00,8.13588E+00,9.32286E+00,9.84321E+00,1.06240E+01,1.15680E+01,1.23468E+01,1.34663E+01,1.45292E+01,1.55053E+01,1.66032E+01,1.85905E+01,1.94265E+01,2.09103E+01,2.26642E+01,2.48409E+01,2.67500E+01,2.83784E+01,3.17314E+01,3.37627E+01,3.61781E+01,3.82387E+01,4.30657E+01,4.55185E+01,4.97889E+01,5.32533E+01,5.72621E+01,6.27326E+01,6.83066E+01,7.23252E+01,7.87907E+01,8.50400E+01,9.22086E+01,9.90131E+01
4.50000E-01,9.81311E-04,1.15557E-03,1.09238E-03,1.16193E-03,1.24136E-03,1.67774E-03,1.46706E-03,1.48845E-03,1.72984E-03,1.95395E-03,2.32693E-03,2.65266E-03,2.96388E-03,3.00937E-03,2.98625E-03,3.85626E-03,3.84797E-03,3.66961E-03,4.66225E-03,3.99539E-03,3.89420E-03,4.80559E-03,4.93968E-03,5.37640E-03,6.42066E-03,5.83190E-03,7.49652E-03,7.01272E-03,8.97201E-03,1.09130E-02,1.17993E-02,1.04981E-02,1.01255E-02,1.27146E-02,1.38303E-02,1.28408E-02,1.39060E-02,1.84402E-02,1.83084E-02,1.81923E-02,2.07927E-02,2.19496E-02,2.92568E-02,2.66739E-02,3.08585E-02,2.24517E-02,4.49142E-02,4.16383E-02,4.87740E-02,4.52655E-02,4.38431E-02,5.25277E-02,5.15931E-02,5.28793E-02,6.84638E-02,7.08074E-02,6.49779E-02,6.91827E-02,9.27146E-02,9.59720E-02,9.67046E-02,1.36694E-01,1.16576E-01,1.31680E-01,1.30277E-01,1.31743E-01,1.47540E-01,1.53838E-01,1.59555E-01,2.07547E-01,2.55675E-01,2.00247E-01,2.65833E-01,2.64758E-01,2.68855E-01,3.42665E-01,3.66743E-01,3.47388E-01,4.29709E-01,5.55449E-01,5.12224E-01,5.98999E-01,5.66407E-01,5.88288E-01,7.36550E-01,7.03767E-01,8.43202E-01,8.53977E-01,8.88856E-01,8.80609E-01,1.10176E+00,1.22709E+00,1.39320E+00,1.43759E+00,1.41501E+00,1.31520E+00,1.52901E+00,2.01351E+00,1.89646E+00,2.07417E+00,2.37325E+00,2.52365E+00,2.47878E+00,3.04626E+00,3.19161E+00,3.22005E+00,3.51440E+00,3.78968E+00,4.08599E+00,4.64738E+00,4.84938E+00,5.59639E+00,5.85576E+00,6.06286E+00,6.85922E+00,7.35442E+00,7.93266E+00,8.01839E+00,9.12873E+00,9.99480E+00,1.01857E+01,1.16056E+01,1.25298E+01,1.35364E+01,1.43839E+01,1.56381E+01,1.63805E+01,1.82746E+01,1.93895E+01,2.15029E+01,2.23871E+01,2.47937E+01,2.60597E+01,2.82666E+01,3.15673E+01,3.47728E+01,3.65385E+01,3.94661E+01,4.29773E+01,4.55010E+01,4.98535E+01,5.28420E+01,5.86834E+01,6.34603E+01,6.75320E+01,7.24664E+01,8.16630E+01,8.53525E+01,9.35380E+01,1.00620E+02
